length,net_charge,% Hydrophobe,Boman Index
33.0,4.0,54.0,0.23
34.0,4.0,23.0,1.19
54.0,6.0,33.0,1.95
49.0,5.0,36.0,2.43
34.0,1.0,50.0,0.55
18.0,4.0,16.0,2.97
18.0,4.0,16.0,2.97
12.0,4.0,66.0,2.52
43.0,9.0,27.0,2.0
60.0,17.0,20.0,3.29
37.0,2.0,51.0,1.46
13.0,1.0,53.0,-0.02
13.0,1.0,53.0,0.12
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.01
16.0,2.0,56.0,-1.06
16.0,2.0,56.0,-0.89
16.0,2.0,56.0,-1.06
17.0,2.0,52.0,-0.59
17.0,2.0,52.0,-0.34
17.0,2.0,52.0,-0.47
97.0,4.0,35.0,2.44
12.0,3.0,16.0,0.84
13.0,4.0,15.0,1.13
25.0,8.0,48.0,2.75
21.0,-1.0,57.0,6.18
21.0,-1.0,61.0,-0.94
17.0,8.0,47.0,1.12
21.0,5.0,28.0,2.84
44.0,2.0,36.0,1.74
37.0,2.0,48.0,1.46
37.0,2.0,51.0,1.43
36.0,2.0,52.0,1.5
26.0,6.0,42.0,0.81
38.0,6.0,44.0,1.55
40.0,10.0,40.0,2.69
42.0,10.0,38.0,2.68
41.0,8.0,43.0,2.43
42.0,6.0,42.0,1.92
42.0,10.0,38.0,2.44
40.0,10.0,40.0,2.6
38.0,9.0,42.0,2.36
40.0,9.0,42.0,2.34
40.0,8.0,42.0,2.18
38.0,7.0,39.0,1.78
38.0,6.0,42.0,1.28
42.0,6.0,40.0,1.18
24.0,3.0,50.0,-0.2
27.0,3.0,48.0,-0.11
27.0,4.0,48.0,-0.11
25.0,3.0,52.0,-0.52
25.0,2.0,52.0,-0.6
27.0,3.0,48.0,-0.27
21.0,2.0,52.0,-1.84
21.0,3.0,52.0,-1.97
21.0,2.0,52.0,-1.97
27.0,4.0,40.0,0.05
27.0,4.0,40.0,-0.03
27.0,4.0,40.0,-0.02
27.0,4.0,51.0,-0.51
27.0,3.0,44.0,-0.07
20.0,2.0,55.0,-1.75
20.0,0.0,50.0,-1.16
20.0,0.0,50.0,-0.95
17.0,4.0,58.0,-0.77
17.0,3.0,52.0,-0.07
17.0,3.0,64.0,-0.85
17.0,3.0,58.0,-0.45
17.0,2.0,58.0,-1.63
24.0,4.0,62.0,-0.36
23.0,2.0,60.0,0.27
24.0,4.0,62.0,-0.48
24.0,4.0,66.0,-1.19
33.0,3.0,48.0,0.02
33.0,3.0,48.0,0.37
33.0,4.0,45.0,0.32
34.0,4.0,44.0,0.53
29.0,3.0,44.0,0.75
46.0,6.0,41.0,0.98
46.0,5.0,43.0,0.62
46.0,5.0,43.0,0.62
37.0,5.0,51.0,-0.32
37.0,5.0,51.0,-0.21
33.0,6.0,51.0,0.25
33.0,4.0,51.0,0.56
33.0,4.0,51.0,0.44
37.0,4.0,45.0,0.35
24.0,4.0,62.0,-0.75
24.0,2.0,62.0,-1.26
33.0,3.0,45.0,0.43
33.0,5.0,48.0,0.43
37.0,4.0,45.0,0.45
13.0,2.0,61.0,-1.54
13.0,2.0,61.0,-1.83
13.0,1.0,61.0,-2.15
13.0,1.0,61.0,-1.74
13.0,2.0,61.0,-2.26
13.0,2.0,61.0,-1.14
10.0,2.0,60.0,-1.39
13.0,3.0,61.0,-0.12
21.0,6.0,28.0,2.81
45.0,5.0,42.0,2.62
13.0,2.0,69.0,-2.24
13.0,2.0,69.0,-2.25
13.0,2.0,69.0,-1.91
13.0,2.0,69.0,-1.85
13.0,2.0,69.0,-1.91
13.0,2.0,69.0,-2.28
14.0,3.0,57.0,-0.4
14.0,3.0,64.0,-1.88
13.0,2.0,61.0,-2.26
33.0,5.0,45.0,0.53
25.0,4.0,52.0,-0.05
31.0,3.0,45.0,0.27
32.0,3.0,40.0,0.34
24.0,4.0,62.0,-0.36
32.0,4.0,46.0,0.39
32.0,4.0,50.0,0.01
28.0,3.0,50.0,0.22
28.0,3.0,46.0,0.78
25.0,4.0,52.0,-0.13
27.0,4.0,48.0,-0.31
31.0,3.0,48.0,0.13
37.0,8.0,48.0,0.86
36.0,8.0,41.0,0.53
35.0,6.0,48.0,1.42
35.0,7.0,48.0,0.88
39.0,5.0,41.0,1.93
39.0,5.0,41.0,1.91
36.0,2.0,50.0,1.36
39.0,5.0,43.0,1.79
35.0,7.0,37.0,0.64
31.0,5.0,35.0,1.85
39.0,5.0,41.0,1.49
13.0,3.0,69.0,-1.17
35.0,8.0,37.0,3.61
35.0,9.0,37.0,3.69
37.0,7.0,45.0,0.84
84.0,-1.0,28.0,2.5
6.0,3.0,50.0,3.06
19.0,7.0,47.0,-0.43
11.0,6.0,54.0,0.07
23.0,3.0,43.0,0.41
